Comments,Unnamed: 1,Unnamed: 2,neg,neu,pos
The White House says that a three-year-old American whose parents were killed by Hamas is among the hostages in Gaza.,,,0.27466117050822386,0.500465282520298,0.22487354697147813
President Joe Biden raised  the issue of hostages including a toddler,," with a callâ¦""",0.21194155761708544,0.5761168847658291,0.21194155761708544
i hope he won't get a heartattack or car-/swimmingaccident in the next time,,,0.22609524157983993,0.49076055136683905,0.2831442070533209
Palestinians appreciate very much every effort that comes in support of their cause.,,,0.23010879775737683,0.4501371125030843,0.3197540897395389
Why is not on our major news outlets????,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
"Good luck with that, Israel is doing everything by the book.",,,0.23173407218075923,0.4239393801346116,0.34432654768462917
"Zionists mocking pro-Palestine protesters. Disgusting behaviour from disgusting people.

#palestine #savepalestine #savegaza #palestina #palestinian #jerusalem #children #israel #alquds #bds #islam #alaqsa #prayforpalestine #gazastrip #turkey #savepalestina #savealaqsa #muslimâ¦",,,0.3204773140458337,0.44935422244621026,0.23016846350795592
"Dua 

Mere we can do for Palestine is 
Make Dua
Make Dua for Palestine
It will make our brothers in Palestine victorious

God willing

#PrayForPalestine",,,0.2177426530591672,0.5463795468006017,0.2358778001402311
"In memory of more than 10,000 martyrs of the Gaza Strip, a magnificent demonstration was held at Oslo Railway Station by Norwegians #FreePalaestine #PrayForPalestine #GazaUnderAttack #Gaza_Genocide 
",,,0.2242007127302811,0.505496790674452,0.27030249659526695
"Their mosques are being heated under the bombs, they're still not missing any prayers!

Our mosques are being cooled with fans and ACs, and we're still skipping all 5 prayers!
#JummahMubarak #PrayForPalestine",,,0.21747119065140802,0.5478855336782993,0.23464327567029267
"Yemen  Stand with Palestine  

#WeStandWithPalestine
#PrayForPalestine
#IsraelisATerorristState",,,0.21194155761708544,0.5761168847658291,0.21194155761708544
"#Assalamuwalaikum 
A father lost his four children; his world has come to an end. May Allah protect the people of Palestine. Amen  

#freepalestian 
#PrayForPalestine",,,0.2457239782221481,0.5058341588345764,0.24844186294327558
"#Hezbollah's anti-ship #missiles, a little remedy for those pesky foreign #warships in the #Mediterranean
#PrayForPalestine #PalestineWillBeFree #Palestine ",,,0.25099208225005865,0.5281716860436768,0.22083623170626446
"#AllahHuAkbar
Without a doubt, with courage and bravery, a grenade was thrown into the barrel of the tank, destroying it
#FreePalaestine #PrayForPalestine #GazaUnderAttack #Gaza_Genocide 
",,,0.2891577745264939,0.4305108263050451,0.28033139916846095
"May Allah safeguard the people of Palestine, bless them with strength and resilience, and bring an end to their sufferings
 #PrayForPalestine #DivineProtection
#FreePalaestine 
#FreePalestine 
#WeStandWithPalestine 
#WeStandWithGaza
#FreePalestineFromIsrael",,,0.22780617094489353,0.475560990576419,0.2966328384786874
"Khalid bin al waleed Mosque was completely destroyed by Israeli shelling in khan Younis, Gaza.
#gazaunderattack #palastine 
#prayforgaza #prayforpalestine",,,0.2623528090059691,0.5147545562067436,0.2228926347872873
"Gaza under heavy attack now.
5-11-23

#Palestine #PalestinianLivesMatter #prayforpalestine #gaza #Gazagenocide #IsrealPalestineconflict #PrayForPalestine #IsraelTerrorists #PalestineGenocide #PalestineWar #GazaHospital #IsraelAttack #GazaUnderAttack #GazaUnderSiegeâ¦",,,0.2548555431019509,0.5235836916653327,0.22156076523271634
"More beautiful Zionist talk.
Would you like these people to live in your country?

#palestine #savepalestine #savegaza #palestina #palestinian #jerusalem #children #israel #alquds #bds #islam #alaqsa #prayforpalestine #gazastrip #turkey #savepalestina #savealaqsa #muslimâ¦",,,0.22393519861411854,0.5074289586190774,0.2686358427668041
"Are you not entertained enough?

#Palestine #PalestinianLivesMatter #prayforpalestine #gaza #Gazagenocide #IsrealPalestineconflict #PrayForPalestine #IsraelTerrorists #PalestineGenocide #PalestineWar #GazaHospital #IsraelAttack #GazaUnderAttack #GazaUnderSiegeâ¦",,,0.24557640580681533,0.5346477528139453,0.21977584137923933
Highlights from last nights debate: We must condemn the terrorist group of HAMAS! #usa #hamasterrorists #hamaspalestine #palestine #nikkihaley #gop #gopdebate #israel #prayforpalestine #prayforisrael,,,0.29733264105099383,0.47477998896430873,0.22788736998469744
The Quick Story About Israel Actions #FreePalaestine #ISLAM  #prayforpalestine #gazastrip #savepalestina #uk #unitedstates #unitedkingdom #northernireland #london #greatbritian #england #NYC #WashingtonDC #losangeles #sanfrancisco #chicago #longislandcity #Spain #Madrid #Berlin,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
"Our Patience is nothingâ¦..
#prayforpalestine
#freepalestine",,,0.21194155761708544,0.5761168847658291,0.21194155761708544
"#AllahHuAkbar

This is spain

#FreePalaestine #PrayForPalestine #GazaUnderAttack #Gaza_Genocide 
@IMshamstrz",,,0.21194155761708544,0.5761168847658291,0.21194155761708544
"We are minutes away from deathâ: Gazaâs al-Shifa Hospital under attack

#FreePalestineFromIsrael #PrayForPalestine",,,0.2763472408149833,0.4985272210573917,0.2251255381276251
":That was amazing and the real truth - you just nailed it, man. Our prayers are with Gaza and the Palestinian people. #StandWithGaza #PrayForPalestineâ #USA #usataxe",,,0.22537372385956098,0.4965876577241489,0.27803861841628996
"TLP Millions March Towards Islamabad. Pro Palestine Protest In Pakistan. Every Body Is So Angry On Israel Attack On Palestine.

#Palestine #PalestinianLivesMatter #prayforpalestine #gaza #Gazagenocide #IsrealPalestineconflict #PrayForPalestine #IsraelTerroristsâ¦",,,0.2945380674252314,0.47790322600804597,0.2275587065667227
"Let us join together in heartfelt prayers for the people of Palestine. May Allah protect them, grant them strength, and bring an end to the injustice they face. 
#PrayForPalestine #JummahMubarak #PeaceForPalestine #FreePalestine 
#FreePalaestine 
#FreePalestineâ¦",,,0.25286647606778584,0.43046309178913955,0.31667043214307466
"This little girl is called Julia. She lost her parents in the bombing by Israel in Gaza.

#FreePalestine #IsraelTerroristState #PrayForPalestine 
   #gazaholocust",,,0.24305148399606724,0.5376852163463695,0.21926329965756336
"Philippine human rights campaigner granted bail

#FreePalestineFromIsrael #PrayForPalestine",,,0.22595371941255785,0.49192693380694524,0.282119346780497
"Day 1150: I thought it was a high number but it is 9,150 less than the number murdered in #Gaza #Palestine since 7 October! #100daysofwalking #200DaysOfWalking #drogheda #PrayForGaza #PrayForPalestine #300daysofwalking #CeasefireForGaza",,,0.27608253071700034,0.4770874680992996,0.24683000118370016
"We keep that winning feeling ! 
Letâs continue the good work

#FreePalestineFromIsrael #PrayForPalestine",,,0.2326314708051525,0.39404122312293766,0.3733273060719099
"#Assalamuwalaikum   

#freepalestian 
#PrayForPalestine",,,0.21194155761708544,0.5761168847658291,0.21194155761708544
"Powerful words and great resilience from the Gaza resident, Abu Osama Daher, after his wife and all his children became martyrs in the Zionist Israeli bombing in the northern Gaza Strip today.",,,0.2242007127302811,0.505496790674452,0.27030249659526695
"#PrayForPalestine #StopGenocidelnGaza""",,,0.21194155761708544,0.5761168847658291,0.21194155761708544
Julia (3 years old) lost her only family to an Israeli bombing  O God Allah Almighty Please help Palastinians Gaza's people Ameen  #StopGenocideOfPalestinians #StopGenocideInGaza #PrayForPalestine #PrayForGaza,,,0.24870531509771507,0.46001942741572194,0.29127525748656286
"What is the Khalistan movement? How is it linked to India-Canada tensions?

#FreePalestineFromIsrael #PrayForPalestine #PrayForGhaza #PrayForPeace",,,0.26432826414847077,0.5124441633615703,0.22322757248995903
"Gaza has been asked to choose between ethnic cleansing and genocideâ¦

#palestine #savepalestine #savegaza #palestina #palestinian #jerusalem #children #israel #alquds #bds #islam #alaqsa #prayforpalestine #gazastrip #turkey #savepalestina #savealaqsa #muslim #humanrightsâ¦",,,0.21194155761708544,0.5761168847658291,0.21194155761708544
"Bantuan Kesehatan dan Alat Medis untuk Palestina alhamdulillah telah tersalurkan pada hari Kamis, 9 November 2023. Bantuan ini diberikan ke Pusat Kesehatan Syuhada Jabaliya, Gaza Utara berupa 1 unit alat bantu kesehatan dan 30 paket kebutuhan medis.
#prayforpalestine",,,0.21194155761708544,0.5761168847658291,0.21194155761708544
"Many Palestinians continue to struggle for survival due to limited access to basic necessities.


#PrayforPalestine 
#Palestine #Gaza #PrayForPalestine #Pakistan #Alkhidmat",,,0.2709706837184885,0.5047234405895004,0.22430587569201113
"Dumbass Zionist propaganda and lies debunked again. This time by 
@AJEnglish
 

#palestine #savepalestine #savegaza #palestina #palestinian #jerusalem #children #israel #alquds #bds #islam #alaqsa #prayforpalestine #gazastrip #turkey #savepalestina #savealaqsa #muslim #humanrightsâ¦",,,0.287262099807912,0.48609060606600035,0.22664729412608764
"Breaking...

#Palestine #PalestinianLivesMatter #prayforpalestine #gaza #Gazagenocide #IsrealPalestineconflict #PrayForPalestine #IsraelTerrorists #PalestineGenocide #PalestineWar #GazaHospital #IsraelAttack #GazaUnderAttack #GazaUnderSiege #CeasefireForGazaNOW",,,0.21194155761708544,0.5761168847658291,0.21194155761708544
Manipulation of media narratives in the Israeli-Palestinian conflict #FreeGazaNow #FreePalaestin #PrayForPeace #PrayForPalestine,,,0.31291739800814206,0.45757428887316176,0.22950831311869624
"#AsslamuAllekum  may Allah be pleased with him.
Abu Ubaidah reiterated the statement of Khalid bin Walid",,,0.22283630392158996,0.5151393459740897,0.2620243501043204
"By God! I have brought to you people who love death just as you love life. Insha'Allah  Allah will surely grant success one day.'""",,,0.25973483642521733,0.35201058659560963,0.3882545769791731
